Url;Contact;Expires;Encryption;Acknowledgments;Languages;Policy;Hiring
https://dnb.no/.well-known/security.txt;mailto:irt@dnb.no;2031-12-31T23:00:00.000Z;;;;;
https://finn.no/.well-known/security.txt;responsible-disclosure@finn.no;;;https://www.finn.no/security-hall-of-fame.txt;en, nb-NO;https://www.finn.no/responsible-disclosure-policy.txt;
https://nav.no/.well-known/security.txt;soc@nav.no;;;;no, en;;
https://sparebank1.no/.well-known/security.txt;mailto:security@sparebank1.no;;https://www.sparebank1.no/.well-known/pgp-key.txt;;;;https://sparebank1.dev/
https://posten.no/.well-known/security.txt;mailto:it.sikkerhet@posten.no;;;;;;
https://tripletex.no/.well-known/security.txt;mailto:security@visma.com;;https://www.visma.com/trust-centre/smb/security-and-privacy/operational/responsible-disclosure/;https://www.visma.com/trust-centre/smb/security-and-privacy/operational/responsible-disclosure/hall-of-fame/;en, nb, nb-NO, nn-NO;https://www.visma.com/trust-centre/smb/security-and-privacy/operational/responsible-disclosure/;https://www.tripletex.no/jobb-i-tripletex/
https://vipps.no/.well-known/security.txt;mailto:responsible-disclosure@vipps.no;2022-12-31T22:59:00.000Z;https://vipps.no/sikkerhet/pgp;https://vipps.no/sikkerhet/security-hall-of-fame/;en, no;https://vipps.no/sikkerhet/responsible-disclosure-policy/;https://vipps.no/jobb
https://p3.no/.well-known/security.txt;mailto:IT-Sikkerhetsgruppe@nrk.no;Thu, 01 Aug 2024 10:00:00;;https://info.nrk.no/hjem/responsible-disclosure-policy/#security-hall-of-fame;no, en;https://info.nrk.no/hjem/responsible-disclosure-policy/;
https://sbanken.no/.well-known/security.txt;sikkerhet@sbanken.no;;https://sbanken.no/pgpkey.txt;;;;
https://oslo.kommune.no/.well-known/security.txt;mailto:abuse@oslo.kommune.no;2023-12-04T11:00:00.000Z;;https://www.oslo.kommune.no/security/acknowledgments/;no, en;https://www.oslo.kommune.no/security/policy/;
https://ndla.no/.well-known/security.txt;mailto:hjelp@ndla.no;2029-12-31T23:00:00.000Z;;;nn, nb, no, en;;
https://kartverket.no/.well-known/security.txt;cybersikkerhet@kartverket.no;;;;no, en;;
https://bring.no/.well-known/security.txt;mailto:it.sikkerhet@posten.no;;;;;;
https://timeanddate.no/.well-known/security.txt;https://hackerone.com/timeanddate;2025-12-31T23:59:59Z;;;en;https://hackerone.com/timeanddate;
https://nettskjema.no/.well-known/security.txt;https://nettskjema.no/a/security;;;;;https://www.uio.no/tjenester/it/adm-app/nettskjema/mer-om/informasjonssikkerhet/responsible-disclosure.html;
https://viken.no/.well-known/security.txt;brukerhjelp (at) viken.no;2023-12-31 T10:00:00.000Z;;;no, en;;
https://oslo-universitetssykehus.no/.well-known/security.txt;mailto:personvern@oslo-universitetssykehus.no;;;;en, no;https://sykehuspartner.no/Documents/Sikkerhet%20-%20regionale%20bruksvilk%C3%A5r/NO-38%20-%20Responsible%20disclosure%20policy%20(engelsk).pdf;mailto:sikkerhet@sykehuspartner.no
https://helse-bergen.no/.well-known/security.txt;mailto:security@nhn.no;;;;;;
https://gear4music.no/.well-known/security.txt;security@g4m.co.uk;;;;en;;
https://nrksuper.no/.well-known/security.txt;mailto: IT - Sikkerhetsgruppe@nrk.no;Thu, 01 Aug 2024 10:00:00;;https://info.nrk.no/hjem/responsible-disclosure-policy/#security-hall-of-fame;no, en;https://info.nrk.no/hjem/responsible-disclosure-policy/;
https://enova.no/.well-known/security.txt;mailto:cirt@enova.no;2025-11-02T22:59:00.000Z;;Acknowledgements will be given publically for any higher severity bug reports, or we can respect your privacy. Tell us what you wish when reporting to us.;no, en;;https://www.enova.no/om-enova/om-organisasjonen/ledige-stillinger/
https://sykehuspartner.no/.well-known/security.txt;mailto:security@nhn.no;;;;en, no;https://sykehuspartner.no/Documents/Sikkerhet%20-%20regionale%20bruksvilk%C3%A5r/NO-38%20-%20Responsible%20disclosure%20policy%20(engelsk).pdf;mailto:sikkerhet@sykehuspartner.no
https://helse-midt.no/.well-known/security.txt;mailto:security@nhn.no;;;;;;
